representation,regime,seed,delta_azimuth,delta_elevation,sun_elevation,transform_kind,fit_model,overlap_fraction,n_kp_src,n_kp_dst,n_putative,n_inliers,inlier_ratio,fit_rmse,coverage_max_gap,coverage_occupancy,coverage_entropy,true_inlier_precision,transform_error_median,transform_error_p90,is_wrong,flag_n_inliers_le_8,detect_describe_s,match_s,ransac_s,pipeline_s
B_phase_congruency,A_highlands_moderate,3003,24.0,0.0,45.0,affine,affine,1.0,1569,1906,174,168,0.9655172413793104,0.968068778450072,0.15499714729117686,0.796875,0.8892186462256203,1.0,0.16558996754655042,0.23025974918660255,False,False,1.5147426000330597,0.03853289992548525,0.06623560003936291,1.6195110999979079
C_rift2_mim,A_highlands_moderate,3003,24.0,0.0,45.0,affine,affine,1.0,1569,1906,9,3,0.3333333333333333,4.641245714809236e-14,0.46833387200628873,0.046875,0.26416041678685936,0.3333333333333333,129.04682885007733,237.82921891734173,True,True,0.2794001998845488,0.12121690006460994,0.19739330001175404,0.5980103999609128
B1_rootsift,A_highlands_moderate,3003,27.0,0.0,45.0,affine,affine,1.0,1525,1776,227,222,0.9779735682819384,0.9024898646931135,0.11810979656717258,0.921875,0.9349301528109397,1.0,0.08352098129913872,0.18246480547483246,False,False,0.15711319993715733,0.05276870005764067,0.11231949995271862,0.3222013999475166
B1_sift,A_highlands_moderate,3003,27.0,0.0,45.0,affine,affine,1.0,1525,1776,215,207,0.9627906976744186,1.1080698966301719,0.09729969631390316,0.90625,0.9270226120604104,0.9951690821256038,0.5432028412070474,1.019334425364927,False,False,0.18104960001073778,0.05918890004977584,0.13552639994304627,0.3757649000035599
A_orient_mod_pi,A_highlands_moderate,3003,27.0,0.0,45.0,affine,affine,1.0,1525,1776,41,41,1.0,0.7797665676105813,0.25100843702965336,0.34375,0.6789855353912632,1.0,0.22760608490931422,0.44536147416904026,False,False,0.9458356000250205,0.06198760005645454,0.11964059993624687,1.127463800017722
A_orient_2pi_control,A_highlands_moderate,3003,27.0,0.0,45.0,affine,affine,1.0,1525,1776,456,453,0.993421052631579,0.8893242164253885,0.08139843545879054,0.984375,0.9769065869228477,0.9977924944812362,0.034441509627886634,0.06304926121239059,False,False,0.839154600049369,0.052966599934734404,0.11343570007011294,1.0055569000542164
B_phase_congruency,A_highlands_moderate,3003,27.0,0.0,45.0,affine,affine,1.0,1569,1818,71,67,0.9436619718309859,0.9559810440772791,0.22780877292714047,0.484375,0.7945483227662112,1.0,0.300311008573652,0.6694179800097388,False,False,1.7321699999738485,0.053874999983236194,0.09583959996234626,1.881884599919431
C_rift2_mim,A_highlands_moderate,3003,27.0,0.0,45.0,affine,affine,1.0,1569,1818,12,6,0.5,0.35260631215687077,0.42238909006125835,0.078125,0.37527152789797047,1.0,3.714080249326444,6.843136695009367,True,True,0.3194413000019267,0.09234460000880063,0.10319249995518476,0.5149783999659121
B1_rootsift,A_highlands_moderate,3003,30.0,0.0,45.0,affine,affine,1.0,1525,1500,3,3,1.0,4.6412457148092366e-14,0.3947911513299187,0.046875,0.26416041678685936,0.3333333333333333,362.00175522456834,727.4483098480378,True,True,0.14482050004880875,0.045366000034846365,0.11177760001737624,0.30196410010103136
B1_sift,A_highlands_moderate,3003,30.0,0.0,45.0,affine,affine,1.0,1525,1500,7,5,0.7142857142857143,0.5231142466052123,0.3835514056454095,0.046875,0.2536546824812271,0.6,17.011278035277634,39.368909787816634,True,True,0.14158369996584952,0.042667899979278445,0.09128020005300641,0.2755317999981344
A_orient_mod_pi,A_highlands_moderate,3003,30.0,0.0,45.0,affine,affine,1.0,1525,1500,1,0,0.0,nan,1.0,0.0,0.0,0.0,inf,inf,True,True,0.8517889999784529,0.04325450002215803,6.720004603266716e-05,0.8951107000466436
A_orient_2pi_control,A_highlands_moderate,3003,30.0,0.0,45.0,affine,affine,1.0,1525,1500,2,0,0.0,nan,1.0,0.0,0.0,0.0,inf,inf,True,True,0.8517535999417305,0.04605750006157905,4.7600013203918934e-05,0.8978587000165135
B_phase_congruency,A_highlands_moderate,3003,30.0,0.0,45.0,affine,affine,1.0,1569,1513,6,3,0.5,6.563712636189231e-14,0.6511588436216897,0.046875,0.26416041678685936,0.3333333333333333,472.99039689706876,888.6372289627019,True,True,1.641956300009042,0.0456840000115335,0.09345579997170717,1.7810960999922827
C_rift2_mim,A_highlands_moderate,3003,30.0,0.0,45.0,affine,affine,1.0,1569,1513,5,3,0.6,8.836668573137574e-14,0.42551238644206946,0.046875,0.26416041678685936,0.0,199.6112554149455,446.9834419667902,True,True,0.3091953999828547,0.07606629992369562,0.09611160005442798,0.48137329996097833
B1_rootsift,A_highlands_moderate,3003,33.0,0.0,45.0,affine,affine,1.0,1525,1769,7,4,0.5714285714285714,0.16572402026222555,0.5924607942739639,0.046875,0.25,0.75,125.52298177369087,291.30523211676683,True,True,0.1328244999749586,0.05604950000997633,0.10867169999983162,0.29754569998476654
B1_sift,A_highlands_moderate,3003,33.0,0.0,45.0,affine,affine,1.0,1525,1769,11,5,0.45454545454545453,0.3923238284470845,0.5047147771696434,0.0625,0.3203213491478938,1.0,0.4300397677264386,0.6096832164871827,False,True,0.20450879994314164,0.056762199965305626,0.11446360009722412,0.3757346000056714
A_orient_mod_pi,A_highlands_moderate,3003,33.0,0.0,45.0,affine,affine,1.0,1525,1769,2,0,0.0,nan,1.0,0.0,0.0,0.0,inf,inf,True,True,0.9848080999217927,0.05246480007190257,5.419994704425335e-05,1.0373270999407396
A_orient_2pi_control,A_highlands_moderate,3003,33.0,0.0,45.0,affine,affine,1.0,1525,1769,46,45,0.9782608695652174,0.9732518976801667,0.19204736026581948,0.46875,0.7884026919568331,1.0,0.17024169849994814,0.30744651615092117,False,False,0.8434811999322847,0.05337930005043745,0.11452649999409914,1.0113869999768212
B_phase_congruency,A_highlands_moderate,3003,33.0,0.0,45.0,affine,affine,1.0,1569,1967,6,3,0.5,4.6412457148092366e-14,0.5745537689547767,0.046875,0.26416041678685936,0.6666666666666666,90.87594349821418,187.50501906945374,True,True,1.9059606000082567,0.06812900002114475,0.11894269997719675,2.0930323000065982
C_rift2_mim,A_highlands_moderate,3003,33.0,0.0,45.0,affine,affine,1.0,1569,1967,9,3,0.3333333333333333,6.139790967464724e-14,0.6953466361782766,0.046875,0.26416041678685936,0.3333333333333333,971.537213907952,2068.8281568189277,True,True,0.3585340999998152,0.10403659997973591,0.1961689000017941,0.6587395999813452
B1_rootsift,A_highlands_moderate,3003,36.0,0.0,45.0,affine,affine,1.0,1525,1278,18,13,0.7222222222222222,0.9541596573730395,0.3595495122782312,0.16129032258064516,0.534217016267434,1.0,0.8316409988137141,1.499540923847569,False,False,0.13478419999592006,0.04158260009717196,0.10688149998895824,0.28324830008205026
B1_sift,A_highlands_moderate,3003,36.0,0.0,45.0,affine,affine,1.0,1525,1278,25,14,0.56,0.912002531673213,0.3595495122782312,0.16129032258064516,0.5344139912231852,1.0,0.8004382528413652,1.4497647087807901,False,False,0.14938929991330951,0.04433740000240505,0.1145138000138104,0.30824049992952496
A_orient_mod_pi,A_highlands_moderate,3003,36.0,0.0,45.0,affine,affine,1.0,1525,1278,1,0,0.0,nan,1.0,0.0,0.0,0.0,inf,inf,True,True,0.9149204000132158,0.04173850000370294,7.409998215734959e-05,0.9567329999990761
