representation,regime,seed,delta_azimuth,n_inliers_ab,n_inliers_bc,n_inliers_ca,loop_error_px,true_error_ab_px,true_error_bc_px,true_error_ca_px,n_edges_wrong,is_wrong,ab_edge_wrong,flag_n_inliers_le_8
A_orient_mod_pi,B_highlands_challenging,3002,0.0,3072,2929,2663,0.0054983651530544075,0.016791982038378936,0.0380349297606494,0.047278323694552676,0,False,False,False
B1_rootsift,B_highlands_challenging,3002,15.0,2615,1630,22,0.4547672337054141,0.01847106727649936,0.4316972921330188,0.2014152698521554,0,False,False,False
A_orient_mod_pi,B_highlands_challenging,3002,15.0,1896,767,6,0.28939042969159745,0.02227209996601604,0.011463114854417531,0.2611745814269879,0,False,False,True
B1_rootsift,B_highlands_challenging,3002,24.0,87,280,3,3392.0868334955057,0.10972775836412187,0.035359057076660434,3392.518013361312,1,True,False,True
A_orient_mod_pi,B_highlands_challenging,3002,24.0,8,50,0,inf,0.0932523349261164,0.04640637914058421,inf,1,True,False,True
B1_rootsift,B_highlands_challenging,3002,30.0,10,10,3,2006.140067935719,0.11505662455465071,0.2583716836650307,2014.2185926077955,1,True,False,True
A_orient_mod_pi,B_highlands_challenging,3002,30.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,B_highlands_challenging,3002,36.0,3,103,4,246.02210336025584,232.44939031598966,0.06963253281263662,179.8243824880227,2,True,True,True
A_orient_mod_pi,B_highlands_challenging,3002,36.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,B_highlands_challenging,3002,45.0,5,3,5,4446.1374096750915,715.6146356435581,981.4076189473512,89.51398312470248,3,True,True,True
A_orient_mod_pi,B_highlands_challenging,3002,45.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,B_highlands_challenging,3003,0.0,4165,3657,4165,0.14075152050147818,0.03447302325466453,0.13859485612083539,0.043056005901247474,0,False,False,False
A_orient_mod_pi,B_highlands_challenging,3003,0.0,2843,2503,2878,0.006128990987185893,0.034885979145138815,0.06301318844516238,0.04315994723160936,0,False,False,False
B1_rootsift,B_highlands_challenging,3003,15.0,518,2309,6,4.594356949679389,0.6205676215438649,0.012463190237934237,5.593827635986669,1,True,False,True
A_orient_mod_pi,B_highlands_challenging,3003,15.0,65,1805,0,inf,0.10699504822054136,0.010644598982259522,inf,1,True,False,True
B1_rootsift,B_highlands_challenging,3003,24.0,1778,1864,15,0.4410403656902179,0.10013492851870508,0.053507635866956935,0.31747367704270696,0,False,False,False
A_orient_mod_pi,B_highlands_challenging,3003,24.0,222,119,0,inf,0.028434947507007195,0.04315700555453558,inf,1,True,False,True
B1_rootsift,B_highlands_challenging,3003,30.0,3,252,4,2524.9028367119754,1821.2509828199882,0.10996775799006211,370.67634038950143,2,True,True,True
A_orient_mod_pi,B_highlands_challenging,3003,30.0,0,6,0,inf,inf,0.18810097070007564,inf,2,True,True,True
B1_rootsift,B_highlands_challenging,3003,36.0,19,3,4,751.6281403225828,0.3007909999917039,249.525831558568,403.4421285259838,2,True,False,True
A_orient_mod_pi,B_highlands_challenging,3003,36.0,3,0,0,inf,1.400496434393422,inf,inf,2,True,False,True
B1_rootsift,B_highlands_challenging,3003,45.0,4,3,3,3595.743156698315,326.8299240006338,2067.824471329449,114.0484268820893,3,True,True,True
A_orient_mod_pi,B_highlands_challenging,3003,45.0,0,0,0,inf,inf,inf,inf,3,True,True,True
