coverage_max_uncovered_disc_ratio,coverage_occupancy,delta_incidence_deg,dst_incidence_deg,edge,engine,fit_rmse_is_not_accuracy,fit_rmse_px,inlier_ratio,n_inliers,n_inliers_failure_flag,n_keypoints_dst,n_keypoints_src,n_putative,pass,recorded_n_inliers,reproduces_recorded,same_orbit_pair,src_incidence_deg,success,wall_s,window,wrong_pass
0.43013559731795986,0.046875,29.17000000000001,74.65,nac.m1212932972lc -> nac.m1142297886lc,b1,True,0.767382792295822,0.07142857142857142,4,True,13923,10310,56,False,,,False,45.48,False,35.681716899969615,RD03,False
,,29.17000000000001,74.65,nac.m1212932972lc -> nac.m1142297886lc,lg,True,nan,0.0,0,True,4096,4096,0,False,,,False,45.48,False,47.455028800002765,RD03,False
0.4276375996401352,0.046875,18.409999999999997,66.88,nac.m1175268993rc -> nac.m1199981485rc,b1,True,4.215620769568695e-13,0.04819277108433735,4,True,11869,18699,83,False,,,False,48.47,False,44.92094159999397,RD03,False
,,18.409999999999997,66.88,nac.m1175268993rc -> nac.m1199981485rc,lg,True,nan,0.0,0,True,4096,4096,2,False,,,False,48.47,False,85.07325850002235,RD03,False
0.41909916682487064,0.0625,7.77000000000001,74.65,nac.m1199981485rc -> nac.m1142297886lc,b1,True,1.0055777257590122,0.06666666666666667,4,True,13923,11869,60,False,,,False,66.88,False,31.71191099996213,RD03,False
,,7.77000000000001,74.65,nac.m1199981485rc -> nac.m1142297886lc,lg,True,nan,0.0,0,True,4096,4096,1,False,,,False,66.88,False,73.37593810004182,RD03,False
0.07127166953920926,0.9375,0.960000000000008,69.76,nac.m1452560468lc -> nac.m1335207975rc,b1,True,0.7090349777960571,0.9957438934122872,5381,False,12420,11477,5404,True,5365,False,False,68.8,True,11.992810900032055,RD03,False
0.071128350525899,0.9375,0.960000000000008,69.76,nac.m1452560468lc -> nac.m1335207975rc,b1,True,0.7497060816187999,0.9961204507666728,5392,False,12471,11433,5413,True,,,False,68.8,True,10.66042509995168,RD03,False
0.1305003236496226,0.890625,0.960000000000008,69.76,nac.m1452560468lc -> nac.m1335207975rc,lg,True,0.9987711524167417,0.993681550126369,2359,False,4096,4096,2374,True,,,False,68.8,True,52.94264819996897,RD03,False
0.44501257717918064,0.046875,4.890000000000001,74.65,nac.m1335207975rc -> nac.m1142297886lc,b1,True,0.6180277615914055,0.0625,4,True,13923,12471,64,False,,,False,69.76,False,18.95186420000391,RD03,False
,,4.890000000000001,74.65,nac.m1335207975rc -> nac.m1142297886lc,lg,True,nan,0.0,0,True,4096,4096,1,False,,,False,69.76,False,33.15477920003468,RD03,False
0.2960205631845953,0.25,2.3599999999999994,74.65,nac.m1096350825rc -> nac.m1142297886lc,b1,True,0.5956320944775809,0.20212765957446807,19,False,13923,12825,94,True,,,False,72.29,True,12.973398400004953,RD03,False
,,2.3599999999999994,74.65,nac.m1096350825rc -> nac.m1142297886lc,lg,True,nan,0.0,0,True,4096,4096,0,False,,,False,72.29,False,35.05811259994516,RD03,False
