group,label,scene,model,root_sift,delta_azimuth_deg,delta_elevation_deg,sun_elevation_src,ambiguity,overlap_fraction,n_kp_src,n_kp_dst,n_putative,n_inliers,reported_inlier_ratio,reported_fit_rmse,true_putative_precision,true_inlier_precision,true_inlier_recall,true_error_median,true_error_p90,transform_error_median,transform_error_p90,transform_error_max,confidence_gap,coverage_max_gap_ratio,coverage_occupancy,coverage_entropy,failure_mode,gen_s,detect_s,match_s,ransac_s,pipeline_s
B_azimuth,d_az=90,highlands,affine,True,90.0,0.0,45.0,0.0,1.0,2890,2797,17,3,0.17647058823529413,2.45591638698589e-13,0.0,0.0,0.0,226.23000363505264,310.4418483879094,1000.178732582812,1935.273448059851,2746.8973804127663,0.17647058823529413,0.5663473164383442,0.046875,0.26416041678685936,no_model_found,4.958441799972206,0.11844710004515946,0.08482180000282824,0.4313457999378443,0.634614699985832
B_azimuth,d_az=135,highlands,affine,True,135.0,0.0,45.0,0.0,1.0,2890,2881,29,4,0.13793103448275862,0.843830809518656,0.0,0.0,0.0,202.44670848626276,223.14439734045928,332.61493858205694,513.1788023596462,634.190593620055,0.13793103448275862,0.5253143822467765,0.0625,0.33333333333333337,no_model_found,4.9671478000236675,0.12551459996029735,0.09390890004578978,0.9199238999281079,1.139347399934195
B_azimuth,d_az=180,highlands,affine,True,-180.0,0.0,45.0,0.0,1.0,2890,2844,28,4,0.14285714285714285,2.1316282072803006e-13,0.0,0.0,0.0,208.19280037212417,371.63503367057575,769.6954463289976,1239.9196681938527,1721.5193594621926,0.14285714285714285,0.5676374011975261,0.046875,0.25,no_model_found,5.01661829999648,0.11654119996819645,0.090721599990502,0.9540520999580622,1.1613148999167606
B_elevation,d_el=-30,highlands,affine,True,0.0,-30.0,45.0,0.0,1.0,2890,2175,76,60,0.7894736842105263,1.2565871198394998,0.7763157894736842,0.9833333333333333,1.0,0.9174401978330582,2.029806106460302,0.7503025380045196,1.2195652898479656,1.5347161906691191,-0.19385964912280695,0.21413679852245227,0.53125,0.8107891964542508,none,4.962302300031297,0.11304849991574883,0.0693711000494659,0.0982615000102669,0.28068109997548163
B_elevation,d_el=-15,highlands,affine,True,0.0,-15.0,45.0,0.0,1.0,2890,2623,859,834,0.9708963911525029,0.8953030229056016,0.9662398137369034,0.9952038369304557,1.0,0.5583484890065527,1.5440530230200353,0.3249084200257983,0.3565156010591598,0.385323167941774,-0.02430744577795274,0.07012235574615719,1.0,0.9781388294100525,none,4.979624099913053,0.11802549997810274,0.08097829995676875,0.16205360007006675,0.36105740000493824
B_elevation,d_el=15,highlands,affine,True,0.0,15.0,45.0,0.0,1.0,2890,3518,1163,1135,0.9759243336199485,1.0077598082597408,0.9742046431642304,0.9955947136563876,0.9973521624007061,0.5118981594215124,1.3711568903353382,0.48938762734958163,1.041780420126955,1.3243601869889978,-0.019670380036439172,0.06686422956493629,1.0,0.9867150261091646,none,4.986212200019509,0.12274690007325262,0.11068080004770309,0.18522099999245256,0.41864870011340827
C_scale,scale=1.0,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2890,2886,2762,2762,1.0,0.07221222851274738,1.0,1.0,1.0,0.01905732101662001,0.06719004612824833,0.0017004032030200934,0.002592727975939913,0.00340404010401407,0.0,0.028437929255002024,1.0,0.9968455397977665,none,5.108503099996597,0.12175319995731115,0.09279869997408241,0.1720445000100881,0.38659639994148165
C_scale,scale=1.25,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2890,1817,1397,1390,0.9949892627057981,0.31770983313361334,0.9949892627057981,1.0,1.0,0.12335329943472752,0.30333973934559383,0.26997641218936314,0.545753963541958,0.7849848618995146,-0.005010737294201872,0.04574233761183738,1.0,0.9962973962477679,none,4.979423900018446,0.11307100008707494,0.058743300032801926,0.13528429996222258,0.30709860008209944
C_scale,scale=1.5,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2890,1287,961,955,0.9937565036420395,0.28888516205676923,0.9937565036420395,1.0,1.0,0.21224982345985854,0.4034292088693177,0.1775350665559479,0.19074119867378697,0.1977717671438455,-0.00624349635796051,0.046425251265643404,1.0,0.9733504380914159,none,5.008442899910733,0.11444979999214411,0.042613400029949844,0.13452790002338588,0.29159110004547983
C_scale,scale=2.0,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2890,750,563,559,0.9928952042628775,0.2721249529552388,0.9928952042628775,1.0,1.0,0.36435230987864464,0.5104537058466488,0.34070680623248883,0.35522225382655787,0.3646050213881638,-0.007104795737122527,0.04979511243742953,1.0,0.990987993129848,none,6.032729299971834,0.09880349994637072,0.024718399974517524,0.10167220002040267,0.22519409994129092
