kind,seed,n_points,held_out_median,held_out_p90,held_out_ok,split_consistency,true_transform_error,is_wrong,part,split
correct_noisy,1179,300,1.4800964668162386,2.639120241667241,True,0.31735647578300324,0.0,False,A,calibration
clustered_correct,1191,300,0.4450844721681214,0.8217487416444681,True,0.24413805212262854,0.0,False,A,calibration
lattice_shift,1200,300,0.4850933586710925,0.8740837380823043,True,0.17780087571894923,64.0,True,A,calibration
repeated_texture,1129,197,0.4644063287205941,0.8110604093672323,True,0.1319771326779267,64.0,True,A,calibration
coherent_affine,1189,300,0.5029053521140459,0.8855041819071607,True,0.24477142318774797,52.70999014376441,True,A,calibration
partial_overlap,1141,300,0.44724146414682886,0.8544448993496073,True,0.3985962607612349,21.142121256222413,True,A,calibration
low_inlier_degenerate,1196,4,inf,inf,False,inf,217.6289807770759,True,A,calibration
correct,1165,300,0.4861561458452491,0.8193685430573293,True,0.12641777929205333,0.0,False,A,calibration
correct_noisy,1196,300,1.4971688533273881,2.6176089495205135,True,0.45025452742843747,0.0,False,A,calibration
clustered_correct,1208,300,0.4612988709654763,0.856591643838325,True,0.19466019626859157,0.0,False,A,calibration
lattice_shift,1217,300,0.47682459567387603,0.8726123062621082,True,0.11716557471390845,64.0,True,A,calibration
repeated_texture,1146,199,0.5063545866244203,0.8928369883448016,True,0.26050799668337565,64.0,True,A,calibration
coherent_affine,1206,300,0.488358296820426,0.8750356455334221,True,0.12259387551477528,52.70999014376441,True,A,calibration
partial_overlap,1158,300,0.4999206302468222,0.8523031387601191,True,0.47675238358185873,21.142121256222413,True,A,calibration
low_inlier_degenerate,1213,4,inf,inf,False,inf,325.22987146206816,True,A,calibration
correct,1182,300,0.5006089272688747,0.910367504875367,True,0.13835340011213942,0.0,False,A,calibration
correct_noisy,1213,300,1.37576787872695,2.5839707394825027,True,0.44201648335675275,0.0,False,A,calibration
clustered_correct,1225,300,0.46031962776743773,0.9160346610417234,True,0.12017574226576103,0.0,False,A,calibration
lattice_shift,1234,300,0.4484446344901588,0.8541371453733477,True,0.09756901364742626,64.0,True,A,calibration
repeated_texture,1163,193,0.4516085809231999,0.8514736426960225,True,0.18268920172055256,64.0,True,A,calibration
coherent_affine,1223,300,0.5136234580787863,0.895210455674338,True,0.2322876731911313,52.70999014376441,True,A,calibration
partial_overlap,1175,300,0.4886132968280066,0.8298604060610792,True,0.11356879156878102,21.142121256222413,True,A,calibration
low_inlier_degenerate,1230,4,inf,inf,False,inf,156.3568482264902,True,A,calibration
correct,1199,300,0.4542000222711132,0.8409386246094605,True,0.12994339031012675,0.0,False,A,calibration
correct_noisy,1230,300,1.5410775194967474,2.639672298128664,True,0.7690338747020136,0.0,False,A,calibration
clustered_correct,1242,300,0.49399460020894426,0.8795785011477999,True,0.24927057664083407,0.0,False,A,calibration
lattice_shift,1251,300,0.4745203882528126,0.8818006293130771,True,0.12642104075653274,64.0,True,A,calibration
repeated_texture,1180,204,0.44940507723990447,0.8129487152956743,True,0.29346971312631287,64.0,True,A,calibration
coherent_affine,1240,300,0.4866796252407586,0.8405029514118973,True,0.18309234015944237,52.70999014376441,True,A,calibration
partial_overlap,1192,300,0.504094560652241,0.8422027241262647,True,0.6760901981141356,21.142121256222413,True,A,calibration
low_inlier_degenerate,1247,4,inf,inf,False,inf,185.55746354025223,True,A,calibration
correct,1216,300,0.4643536218504434,0.8746925598650747,True,0.08521476778695247,0.0,False,A,calibration
correct_noisy,1247,300,1.4006711813029074,2.5522779133721265,True,0.7719555467407042,0.0,False,A,calibration
clustered_correct,1259,300,0.4783485258420672,0.8825081123237918,True,0.3755804447154678,0.0,False,A,calibration
lattice_shift,1268,300,0.4677862129953523,0.8066775067333912,True,0.17218528093527352,64.0,True,A,calibration
repeated_texture,1197,191,0.4641090602433199,0.8129965144517448,True,0.1959751233818216,64.0,True,A,calibration
coherent_affine,1257,300,0.4468993065242511,0.9029504816912208,True,0.12070675333465167,52.70999014376441,True,A,calibration
partial_overlap,1209,300,0.46796970873718025,0.8380853395645946,True,0.8610384534433726,21.142121256222413,True,A,calibration
low_inlier_degenerate,1264,4,inf,inf,False,inf,283.4099789632685,True,A,calibration
correct,7029,300,0.4931120336817635,0.8864406005516388,True,0.1507732347796627,0.0,False,A,validation
correct_noisy,7060,300,1.4591286335842555,2.6003744118800713,True,0.6357916641344608,0.0,False,A,validation
clustered_correct,7072,300,0.4690012537978083,0.8869324806700489,True,0.4580661212816407,0.0,False,A,validation
lattice_shift,7081,300,0.499332962644498,0.8493686032191294,True,0.20168643721444274,64.0,True,A,validation
repeated_texture,7010,196,0.4870018194715261,0.8598772412357516,True,0.1304795915887454,64.0,True,A,validation
coherent_affine,7070,300,0.4814529683342914,0.8655805033353196,True,0.13521620796636408,52.70999014376441,True,A,validation
partial_overlap,7022,300,0.4774188379440965,0.8759131067517539,True,0.2777296153954529,21.142121256222413,True,A,validation
low_inlier_degenerate,7077,4,inf,inf,False,inf,219.62896495207573,True,A,validation
correct,7052,300,0.48128416396724893,0.8651569475032147,True,0.10141518486100959,0.0,False,A,validation
correct_noisy,7083,300,1.4278786603245863,2.590253524142005,True,0.8055610521584784,0.0,False,A,validation
clustered_correct,7095,300,0.477557095253742,0.8682905990931117,True,0.2189504555444301,0.0,False,A,validation
lattice_shift,7104,300,0.45923841045955643,0.8254808716044439,True,0.12794403434653756,64.0,True,A,validation
repeated_texture,7033,189,0.48658572816107604,0.8301048396033159,True,0.29505678826338577,64.0,True,A,validation
coherent_affine,7093,300,0.4929720806237004,0.8251327565278802,True,0.1340678734288545,52.70999014376441,True,A,validation
partial_overlap,7045,300,0.47516003121713857,0.8599694388485598,True,0.5605259202185163,21.142121256222413,True,A,validation
low_inlier_degenerate,7100,4,inf,inf,False,inf,369.39287975523155,True,A,validation
correct,7075,300,0.45754245484565575,0.8787886763349649,True,0.15324314412469922,0.0,False,A,validation
correct_noisy,7106,300,1.4346859913543812,2.5334225939496693,True,0.5563769025355458,0.0,False,A,validation
clustered_correct,7118,300,0.47952705072451907,0.8458936767526124,True,0.12418543778362884,0.0,False,A,validation
lattice_shift,7127,300,0.4814741671803545,0.8530150231837228,True,0.25351592602373907,64.0,True,A,validation
repeated_texture,7056,190,0.4694382560057389,0.8961185105245288,True,0.1767033006198196,64.0,True,A,validation
coherent_affine,7116,300,0.46422877422855635,0.8626135056869368,True,0.20247817711274446,52.70999014376441,True,A,validation
partial_overlap,7068,300,0.4861169808631133,0.8036665619465798,True,0.27855792747040703,21.142121256222413,True,A,validation
low_inlier_degenerate,7123,4,inf,inf,False,inf,244.81857343721117,True,A,validation
correct,7098,300,0.5315520087215512,0.9008417850449344,True,0.18677092822986072,0.0,False,A,validation
correct_noisy,7129,300,1.3775535475058343,2.585603073583306,True,0.6494457497521152,0.0,False,A,validation
clustered_correct,7141,300,0.494354023380344,0.8775175354624288,True,0.2855315037422641,0.0,False,A,validation
lattice_shift,7150,300,0.46417387541251465,0.8747556168638261,True,0.15825831244889565,64.0,True,A,validation
repeated_texture,7079,205,0.4582407677935947,0.8121016300427577,True,0.1317045328658718,64.0,True,A,validation
coherent_affine,7139,300,0.47169638558593463,0.9311776296267085,True,0.09968272886938687,52.70999014376441,True,A,validation
partial_overlap,7091,300,0.47261636724164136,0.8209777884483241,True,0.5051062035282013,21.142121256222413,True,A,validation
low_inlier_degenerate,7146,4,inf,inf,False,inf,265.39362011394826,True,A,validation
correct,7121,300,0.47030679290278754,0.8601356457692851,True,0.20918886722003718,0.0,False,A,validation
