label,regime,seed,transform_kind,fit_model,scale,delta_azimuth,delta_elevation,sun_elevation,ambiguity,overlap_fraction,n_kp_src,n_kp_dst,n_putative,n_inliers,inlier_ratio,fit_rmse,held_out_median,held_out_p90,held_out_ok,split_consistency,coverage_max_gap,coverage_occupancy,coverage_entropy,true_inlier_precision,true_putative_precision,transform_error_median,transform_error_p90,is_wrong,gen_s,pipeline_s,ransac_s,split
projective/d_az=20,A_mare_moderate,7004,projective,projective,1.0,20.0,0.0,45.0,0.0,1.0,19,13,11,7,0.6363636363636364,0.777494802280063,47.56654641851094,143.1174359518834,True,inf,0.4447029209866153,0.09375,0.42027343939055306,1.0,0.9090909090909091,8.288111534248538,28.295867509507154,True,0.2252909999806434,0.11295820015948266,0.05729860009159893,validation
similarity/d_az=40,A_mare_moderate,7004,similarity,similarity,1.0,40.0,0.0,45.0,0.0,1.0,19,17,0,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,nan,nan,nan,nan,True,0.21255439997185022,0.05352510011289269,3.270001616328955e-05,validation
affine/d_az=40,A_mare_moderate,7004,affine,affine,1.0,40.0,0.0,45.0,0.0,1.0,19,18,1,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.21278890001121908,0.053391699912026525,3.409991040825844e-05,validation
projective/d_az=40,A_mare_moderate,7004,projective,projective,1.0,40.0,0.0,45.0,0.0,1.0,19,18,0,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,nan,nan,nan,nan,True,0.21582490007858723,0.05693469988182187,3.9899954572319984e-05,validation
similarity/d_az=60,A_mare_moderate,7004,similarity,similarity,1.0,60.0,0.0,45.0,0.0,1.0,19,13,0,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,nan,nan,nan,nan,True,0.21371929999440908,0.052064099931158125,3.359990660101175e-05,validation
affine/d_az=60,A_mare_moderate,7004,affine,affine,1.0,60.0,0.0,45.0,0.0,1.0,19,12,0,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,nan,nan,nan,nan,True,0.20981859997846186,0.05056270002387464,3.530003596097231e-05,validation
projective/d_az=60,A_mare_moderate,7004,projective,projective,1.0,60.0,0.0,45.0,0.0,1.0,19,15,0,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,nan,nan,nan,nan,True,0.21724649996031076,0.05162669997662306,3.1800009310245514e-05,validation
similarity/d_az=0,A_highlands_moderate,7001,similarity,similarity,1.0,0.0,0.0,45.0,0.0,1.0,1511,1205,874,871,0.9965675057208238,0.6165399385380295,0.2297347295703646,0.6687868082767048,True,0.09346497862642887,0.05717317291692748,1.0,0.9715142565734429,0.9977037887485649,0.994279176201373,0.40932059756334926,0.6477810166051752,False,1.302284299978055,0.17008950002491474,0.04513550002593547,validation
affine/d_az=0,A_highlands_moderate,7001,affine,affine,1.0,0.0,0.0,45.0,0.0,1.0,1511,1231,887,885,0.9977452085682075,0.6564716281072811,0.22444863613412225,0.6511696108364523,True,0.07176392113439736,0.05717317291692748,1.0,0.9692881076257409,0.9977401129943503,0.9954904171364148,0.4125289015567605,0.9483070216018022,False,0.2831386999459937,0.1831334000453353,0.05708020005840808,validation
projective/d_az=0,A_highlands_moderate,7001,projective,projective,1.0,0.0,0.0,45.0,0.0,1.0,1511,1207,885,882,0.9966101694915255,0.4365875340813517,0.22998300034847666,0.6570866521169375,True,0.12488585025415018,0.05767509007903673,1.0,0.9698686155679594,1.0,0.9966101694915255,0.06190119593999338,0.07772575346331,False,0.28446630004327744,0.15562860004138201,0.04952710005454719,validation
similarity/d_az=20,A_highlands_moderate,7001,similarity,similarity,1.0,20.0,0.0,45.0,0.0,1.0,1511,1522,202,197,0.9752475247524752,1.170787445273258,0.5660734267779336,1.4538471630288328,True,0.10202280783240666,0.09858069391014428,0.921875,0.9392468298483111,0.9949238578680203,0.9702970297029703,0.6422560473097548,1.0418199225019684,False,0.27243420004379004,0.1736855999333784,0.057163999998010695,validation
affine/d_az=20,A_highlands_moderate,7001,affine,affine,1.0,20.0,0.0,45.0,0.0,1.0,1511,1518,290,284,0.9793103448275862,1.0348015899828902,0.534849544636465,1.4928703384685105,True,0.27018266664533785,0.08732699290160009,0.96875,0.9587779143382379,0.9929577464788732,0.9724137931034482,0.4627286641239033,0.8031538350702566,False,0.29534220008645207,0.16256440000142902,0.04838970000855625,validation
projective/d_az=20,A_highlands_moderate,7001,projective,projective,1.0,20.0,0.0,45.0,0.0,1.0,1511,1542,191,183,0.9581151832460733,0.9243302924439627,0.5637799714807723,1.6238948016365784,True,0.36655261722890203,0.09729969631390316,0.90625,0.9386132048921837,1.0,0.9633507853403142,0.13633911533825988,0.187466159152746,False,0.2733862999593839,0.17224889993667603,0.043027799925766885,validation
similarity/d_az=40,A_highlands_moderate,7001,similarity,similarity,1.0,40.0,0.0,45.0,0.0,1.0,1511,1200,10,2,0.2,0.0,inf,inf,False,inf,0.6335889869152382,0.016129032258064516,-0.0,0.0,0.0,1225.22270122375,2003.5076397537937,True,0.2925568000646308,0.18311119999270886,0.05917959997896105,validation
affine/d_az=40,A_highlands_moderate,7001,affine,affine,1.0,40.0,0.0,45.0,0.0,1.0,1511,1171,8,3,0.375,8.038873388460929e-14,inf,inf,False,inf,0.6598492773303635,0.03225806451612903,0.1542266640507899,0.0,0.0,433.2698458781346,701.1198557376016,True,0.2863822999643162,0.20071400003507733,0.059694800060242414,validation
projective/d_az=40,A_highlands_moderate,7001,projective,projective,1.0,40.0,0.0,45.0,0.0,1.0,1511,1205,7,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.2799582000588998,0.5222024000249803,0.4012591999489814,validation
similarity/d_az=60,A_highlands_moderate,7001,similarity,similarity,1.0,60.0,0.0,45.0,0.0,1.0,1511,1176,8,2,0.25,5.684341886080802e-14,inf,inf,False,inf,0.6868140912358591,0.03333333333333333,0.16929380759878143,0.0,0.0,168.15807396083073,273.24638307678913,True,0.28446229989640415,0.1554458000464365,0.03726510005071759,validation
affine/d_az=60,A_highlands_moderate,7001,affine,affine,1.0,60.0,0.0,45.0,0.0,1.0,1511,1171,6,3,0.5,2.6254850544756925e-13,inf,inf,False,inf,0.7101882880714726,0.03278688524590164,0.1686130986895011,0.0,0.0,3399.5035145211195,6617.769899953959,True,0.28321559994947165,0.1722016999265179,0.046199899981729686,validation
projective/d_az=60,A_highlands_moderate,7001,projective,projective,1.0,60.0,0.0,45.0,0.0,1.0,1511,1173,9,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.28438540000934154,1.2498120999662206,1.1259973000269383,validation
similarity/d_az=0,A_highlands_moderate,7002,similarity,similarity,1.0,0.0,0.0,45.0,0.0,1.0,1469,1754,1084,1083,0.9990774907749077,0.7581581048287396,0.16699730651436043,0.47954740294128767,True,0.03436415959803061,0.0653121677290857,1.0,0.9908679004363605,0.9990766389658357,0.9981549815498155,0.622839655658441,0.9601307239786339,False,1.3285235000075772,0.17671659996267408,0.04392620001453906,validation
affine/d_az=0,A_highlands_moderate,7002,affine,affine,1.0,0.0,0.0,45.0,0.0,1.0,1469,1782,1077,1076,0.9990714948932219,0.7646157756817924,0.18501377906290645,0.5443772790386854,True,0.05441454458266942,0.0653121677290857,1.0,0.9907904940306816,0.9990706319702602,0.9981429897864438,0.5266703487545097,1.1696718766085126,False,0.2850067999679595,0.22475289995782077,0.05815419997088611,validation
projective/d_az=0,A_highlands_moderate,7002,projective,projective,1.0,0.0,0.0,45.0,0.0,1.0,1469,1711,1077,1073,0.9962859795728877,0.3257097872279048,0.16690749197446128,0.4687224635421687,True,0.07290370858031375,0.0653121677290857,1.0,0.990884965715496,1.0,0.9972144846796658,0.0615115297517585,0.07453223547970977,False,0.29270530003122985,0.17126870015636086,0.05146990006323904,validation
similarity/d_az=20,A_highlands_moderate,7002,similarity,similarity,1.0,20.0,0.0,45.0,0.0,1.0,1469,1683,56,52,0.9285714285714286,1.3285801399789938,0.7517435448088228,1.71852093367811,True,0.5445767332325554,0.21553314267248505,0.453125,0.7749797271161737,1.0,0.9285714285714286,0.9021572055373985,1.4559486288927943,False,0.293718499946408,0.17763469996862113,0.03680469992104918,validation
affine/d_az=20,A_highlands_moderate,7002,affine,affine,1.0,20.0,0.0,45.0,0.0,1.0,1469,1691,33,26,0.7878787878787878,1.4007299634530521,0.9276384676121654,2.1407594547170303,True,0.7491597471743188,0.2977531784803294,0.25,0.6198824209444967,1.0,0.7878787878787878,0.6418525207532138,1.4869262795839195,False,0.2840022000018507,0.1809195999521762,0.04531929991208017,validation
