arm,arm_wall_s,coverage_max_uncovered_disc_ratio,coverage_occupancy,decimation,delta_incidence_deg,edge,exploratory,fit_rmse_is_not_accuracy,fit_rmse_px,gsd_m,inlier_ratio,label,n_inliers,n_inliers_failure_flag,n_keypoints_dst,n_keypoints_src,n_putative,pass,recorded_n_inliers,reproduces_recorded,shape,target,tier,wall_s
photometric_hapke,31.450844999984838,0.10334689225690416,1.0,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,False,True,0.8779232510137617,2.0,0.9414440022740194,D -> A,1656,False,10794,12593,1759,True,,,"[2048, 1024]",REAL-DATA-04,tier1,5.717943500028923
dem_render_b1,6.627257300016936,,,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,False,,,2.0,,D -> A,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-04,tier1,
dem_render_lg,109.2873649999965,,,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,False,,,2.0,,D -> A,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-04,tier1,
learned_lg,91.14334209996741,0.14254936032614993,0.84375,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,False,True,0.9884778548893942,2.0,0.9687650168188371,D -> A,2016,False,4096,4096,2081,True,,,"[2048, 1024]",REAL-DATA-04,tier1,71.3224518999923
photometric_ls_pixel,25.107014300010633,0.09728934982993787,1.0,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,True,True,1.0909924743705628,2.0,0.9315175097276265,D -> A,1197,False,10740,12669,1285,True,,,"[2048, 1024]",REAL-DATA-04,tier1,6.36839219997637
learned_lg_repeat,0.0,,,2,,nac.m1271742202lc -> nac.m1335207975rc,True,,,,,determinism,"[3, 3]",,,,,True,,,,REAL-DATA-04,tier1,
none,52.44848100002855,0.42142815504455383,0.046875,4,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,0.373088684352011,3.69,0.046511627906976744,A -> B,4,True,16435,20715,86,False,,,"[3072, 1266]",RD03-target,tier2,33.13432430004468
photometric_ls,49.72007350000786,0.42142815504455383,0.046875,4,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,0.373088684352011,3.69,0.046511627906976744,A -> B,4,True,16435,20715,86,False,,,"[3072, 1266]",RD03-target,tier2,30.920022700040136
photometric_hapke,46.723949900013395,0.42142815504455383,0.046875,4,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,0.373088684352011,3.69,0.046511627906976744,A -> B,4,True,16435,20719,86,False,,,"[3072, 1266]",RD03-target,tier2,26.972886400006246
dem_render_b1,56.91647880000528,,,4,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,3.69,,A -> B,0,True,,,,False,,,"[3072, 1266]",RD03-target,tier2,
photometric_ls_pixel,48.1026211999706,0.7324967349860461,0.046875,4,39.81,nac.m1271742202lc -> nac.m1335207975rc,True,True,6.069216312898397e-13,3.69,0.058823529411764705,A -> B,4,True,16146,20878,68,False,,,"[3072, 1266]",RD03-target,tier2,26.53552709997166
none,50.05302579997806,0.051962537026161666,1.0,4,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.42744597964060455,3.54,0.9978902953586498,B -> C,9460,False,16025,16435,9480,True,,,"[3072, 1266]",RD03-target,tier2,18.60590719996253
photometric_ls,37.64756249997299,0.051962537026161666,1.0,4,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.42744597964060455,3.54,0.9978902953586498,B -> C,9460,False,16025,16435,9480,True,,,"[3072, 1266]",RD03-target,tier2,11.116924400033895
photometric_hapke,38.349543899996206,0.051962537026161666,1.0,4,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.42744597964060455,3.54,0.9978902953586498,B -> C,9460,False,16025,16435,9480,True,,,"[3072, 1266]",RD03-target,tier2,12.280430799990427
dem_render_b1,64.43316189997131,,,4,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,,,3.54,,B -> C,3,True,,,,False,,,"[3072, 1266]",RD03-target,tier2,
photometric_ls_pixel,36.16620310000144,0.06916772767464092,1.0,4,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,True,True,0.8113376893751505,3.54,0.9644304367402071,B -> C,2142,False,15090,16146,2221,True,,,"[3072, 1266]",RD03-target,tier2,12.392529299948364
none,33.32415920001222,0.3769303606670005,0.109375,4,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,True,1.0470833839200173,3.57,0.16666666666666666,C -> A,10,False,20715,16025,60,True,,,"[3072, 1266]",RD03-target,tier2,15.282547899987549
photometric_ls,41.93036400002893,0.3769303606670005,0.109375,4,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,True,1.0470833839200173,3.57,0.16666666666666666,C -> A,10,False,20715,16025,60,True,,,"[3072, 1266]",RD03-target,tier2,21.77279149997048
photometric_hapke,35.037064799980726,0.3769303606670005,0.109375,4,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,True,1.0470768176545884,3.57,0.16666666666666666,C -> A,10,False,20719,16025,60,True,,,"[3072, 1266]",RD03-target,tier2,18.293284400017
dem_render_b1,10.85305039997911,,,4,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,,,3.57,,C -> A,0,True,,,,False,,,"[3072, 1266]",RD03-target,tier2,
photometric_ls_pixel,48.07216390001122,0.47187361285739016,0.046875,4,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,True,True,2.5357517214610497e-12,3.57,0.07692307692307693,C -> A,4,True,20878,15090,52,False,,,"[3072, 1266]",RD03-target,tier2,27.23430989991175
none,35.45866689999821,0.4007797695536316,0.0625,8,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,1.09929103727314,7.38,0.08695652173913043,A -> B,4,True,5280,7700,46,False,,,"[1536, 633]",RD03-target,tier2,16.924826200061943
photometric_ls,35.11033579998184,0.4007797695536316,0.0625,8,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,1.09929103727314,7.38,0.08695652173913043,A -> B,4,True,5280,7700,46,False,,,"[1536, 633]",RD03-target,tier2,17.133417100005317
photometric_hapke,37.34659420000389,0.4007797695536316,0.0625,8,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,1.09929103727314,7.38,0.08695652173913043,A -> B,4,True,5280,7700,46,False,,,"[1536, 633]",RD03-target,tier2,19.315461199963465
dem_render_b1,11.266094600025099,,,8,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,7.38,,A -> B,3,True,,,,False,,,"[1536, 633]",RD03-target,tier2,
dem_render_lg,62.944186999986414,,,8,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,7.38,,A -> B,0,True,,,,False,,,"[1536, 633]",RD03-target,tier2,
learned_lg,55.735132200003136,0.15011389156032978,0.8125,8,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,1.3590062254549518,7.38,0.7772357723577236,A -> B,1434,False,4096,4096,1845,True,,,"[1536, 633]",RD03-target,tier2,37.92777420004131
photometric_ls_pixel,26.424353200010955,0.40087197099403676,0.046875,8,39.81,nac.m1271742202lc -> nac.m1335207975rc,True,True,2.6203521364587025e-13,7.38,0.13793103448275862,A -> B,4,True,5677,7955,29,False,,,"[1536, 633]",RD03-target,tier2,7.340666500036605
none,18.885019499983173,0.057537163975658404,1.0,8,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.2981060878791392,7.08,0.9973873285434357,B -> C,3054,False,5135,5280,3062,True,,,"[1536, 633]",RD03-target,tier2,1.4941254000295885
photometric_ls,18.33736060000956,0.057537163975658404,1.0,8,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.2981060878791392,7.08,0.9973873285434357,B -> C,3054,False,5135,5280,3062,True,,,"[1536, 633]",RD03-target,tier2,1.3197411999572068
photometric_hapke,20.880354200024158,0.057537163975658404,1.0,8,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.2981060878791392,7.08,0.9973873285434357,B -> C,3054,False,5135,5280,3062,True,,,"[1536, 633]",RD03-target,tier2,1.3812964999233373
dem_render_b1,7.022902400000021,,,8,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,,,7.08,,B -> C,3,True,,,,False,,,"[1536, 633]",RD03-target,tier2,
dem_render_lg,51.15149179997388,,,8,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,,,7.08,,B -> C,0,True,,,,False,,,"[1536, 633]",RD03-target,tier2,
learned_lg,51.15854540001601,0.0962656706727218,0.953125,8,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,1.0180514391836777,7.08,0.9967061923583662,B -> C,3026,False,4096,4096,3036,True,,,"[1536, 633]",RD03-target,tier2,29.376039599999785
photometric_ls_pixel,30.994989400031045,0.12709297391234559,0.828125,8,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,True,True,0.3479670406202594,7.08,0.8402777777777778,B -> C,242,False,5294,5677,288,True,,,"[1536, 633]",RD03-target,tier2,8.953032299992628
none,23.401251999952365,0.518534736434469,0.046875,8,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,True,1.7053025658242404e-13,7.14,0.14814814814814814,C -> A,4,True,7700,5135,27,False,,,"[1536, 633]",RD03-target,tier2,4.896622400090564
photometric_ls,20.8755220999592,0.518534736434469,0.046875,8,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,True,1.7053025658242404e-13,7.14,0.14814814814814814,C -> A,4,True,7700,5135,27,False,,,"[1536, 633]",RD03-target,tier2,4.623334699950647
photometric_hapke,23.872610300022643,0.518534736434469,0.046875,8,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,True,1.7053025658242404e-13,7.14,0.14814814814814814,C -> A,4,True,7700,5135,27,False,,,"[1536, 633]",RD03-target,tier2,6.084468899993226
dem_render_b1,2.1647059000097215,,,8,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,,,7.14,,C -> A,3,True,,,,False,,,"[1536, 633]",RD03-target,tier2,
dem_render_lg,79.71274450002238,,,8,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,,,7.14,,C -> A,3,True,,,,False,,,"[1536, 633]",RD03-target,tier2,
learned_lg,47.38512859999901,0.12463603971444787,0.8125,8,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,True,1.313791923678502,7.14,0.807185628742515,C -> A,1348,False,4096,4096,1670,True,,,"[1536, 633]",RD03-target,tier2,32.67689679999603
photometric_ls_pixel,23.960230899974704,0.38121572304046614,0.0625,8,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,True,True,0.2802216239676485,7.14,0.14285714285714285,C -> A,4,True,7955,5294,28,False,,,"[1536, 633]",RD03-target,tier2,8.223249000031501
none,18.050350399978925,0.3737737558396256,0.046875,16,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,0.46858767708434546,14.76,0.26666666666666666,A -> B,4,True,2350,3068,15,False,,,"[768, 316]",RD03-target,tier2,1.583473899983801
photometric_ls,25.39647130004596,0.3737737558396256,0.046875,16,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,0.46858767708434546,14.76,0.26666666666666666,A -> B,4,True,2350,3068,15,False,,,"[768, 316]",RD03-target,tier2,1.5944906999939121
photometric_hapke,18.42294039996341,0.3737737558396256,0.046875,16,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,0.46858767708434546,14.76,0.26666666666666666,A -> B,4,True,2350,3068,15,False,,,"[768, 316]",RD03-target,tier2,1.4774104001116939
dem_render_b1,6.132884800026659,,,16,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,14.76,,A -> B,0,True,,,,False,,,"[768, 316]",RD03-target,tier2,
dem_render_lg,27.121407800004818,,,16,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,14.76,,A -> B,0,True,,,,False,,,"[768, 316]",RD03-target,tier2,
learned_lg,29.998964999977034,0.11835516766898815,0.859375,16,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,1.4270290733021416,14.76,0.9269178393100318,A -> B,2042,False,3282,3584,2203,True,,,"[768, 316]",RD03-target,tier2,13.479916199983563
photometric_ls_pixel,19.19519129995024,0.3917447195543155,0.03125,16,39.81,nac.m1271742202lc -> nac.m1335207975rc,True,True,4.547473508864641e-13,14.76,0.2727272727272727,A -> B,3,True,2779,3190,11,False,,,"[768, 316]",RD03-target,tier2,1.4311965999077074
none,24.064606700034346,0.06473290621801785,0.984375,16,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.22000143175821432,14.16,0.9978197674418605,B -> C,1373,False,2197,2350,1376,True,,,"[768, 316]",RD03-target,tier2,0.8076181999640539
photometric_ls,16.6345708000008,0.06473290621801785,0.984375,16,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.22000143175821432,14.16,0.9978197674418605,B -> C,1373,False,2197,2350,1376,True,,,"[768, 316]",RD03-target,tier2,1.4263005999964662
